row_id,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,weight
803,제주도,구좌읍,0.25
803,제주도,성산읍,0.25
803,제주도,애월읍,0.25
803,제주도,표선면,0.25
805,충청북도,영동군,0.3333333333333333
805,충청북도,제천시,0.3333333333333333
805,충청북도,충주시(구 청원군 포함),0.3333333333333333
806,충청남도,서산시,1.0
807,경상북도,울진군,0.5
807,경상북도,포항시,0.5
808,전라북도,남원시,1.0
809,충청남도,예산군,1.0
810,경기도,여주시,1.0
811,제주도,제주시(시내동),1.0
812,경기도,수원시,1.0
813,경상남도,거창군,1.0
814,경기도,남양주시,0.5
814,경기도,의왕시,0.5
816,충청남도,공주시,0.5
816,충청남도,천안시,0.5
817,경기도,화성시,1.0
819,충청남도,태안군,1.0
820,경기도,수원시,1.0
821,충청남도,태안군,1.0
822,경상북도,김천시,1.0
823,경기도,가평군,1.0
824,강원도,강릉시,0.5
824,강원도,동해시,0.5
825,강원도,강릉시,1.0
828,제주도,성산읍,0.25
828,제주도,안덕면,0.25
828,제주도,조천읍,0.25
828,제주도,표선면,0.25
829,경상남도,김해시,1.0
830,경상남도,김해시,1.0
831,충청남도,보령시,1.0
832,충청남도,천안시,1.0
834,강원도,강릉시,1.0
835,경기도,남양주시,1.0
837,충청남도,보령시,1.0
838,경상남도,창원시,1.0
839,제주도,애월읍,1.0
840,경기도,가평군,1.0
841,경상북도,경주시,0.5
841,경상북도,포항시,0.5
842,경기도,의왕시,1.0
843,경기도,용인시,1.0
844,강원도,강릉시,1.0
845,경기도,용인시,1.0
846,전라남도,광양시,1.0
847,충청남도,태안군,1.0
849,강원도,원주시,1.0
850,경상북도,경주시,1.0
851,제주도,구좌읍,0.08333333333333333
851,제주도,남원읍,0.08333333333333333
851,제주도,대정읍,0.08333333333333333
851,제주도,서귀포시(시내동),0.08333333333333333
851,제주도,성산읍,0.08333333333333333
851,제주도,안덕면,0.08333333333333333
851,제주도,애월읍,0.08333333333333333
851,제주도,제주시(시내동),0.08333333333333333
851,제주도,조천읍,0.08333333333333333
851,제주도,표선면,0.08333333333333333
851,제주도,한경면,0.08333333333333333
